"diferenca.tempo","feeling.aleatoriedade","sd.regioes"
88,7,2.62995563967658
102,10,5.91607978309962
79,10,1.5
68,3,2.51661147842358
76,10,19.8725103262438
182,7,15.283433296656
36,7,14.8408220796558
291,7,11.2063969826762
99,8,28.6632749931569
158,4,18.2642638322308
76,6,15.9478316185409
112,7,25.0383039894212
75,7,8.34665601703261
137,6,20.6639783197718
55,6,8.04155872120988
172,7,24.971650592889
79,5,24.1022128997872
95,7,0.816496580927726
65,5,2.62995563967658
107,5,5.85234995535981
59,7,19.8725103262438
165,10,7.54431353183752
35,1,0
43,10,9.7082439194738
64,10,4.92442890089805
83,7,29.2859465728302
174,7,12.3558353285671
112,10,16.6007027963678
62,10,4.65474668125631
98,3,8.30160627027485
163,8,5.18812747209113
116,3,28.9985631827969
192,8,27.5983091269495
140,5,25.4885595251412
55,3,12.9228479833201
83,4,9.88264472024906
81,10,12.3017613914973
318,5,7.04154339142587
96,10,7.45542308211501
120,10,25.7293606605372
273,5,17.3277234511635
112,4,6.35085296108588
102,8,10.7819293264239
73,8,3.87298334620742
170,8,10.4363148029688
174,9,0
154,7,12.9711217710728
161,3,4.08248290463863
374,8,9.69535971483266
155,6,6.05530070819498
75,3,5.97215762238964
198,7,12.9871731591854
59,2,2.06155281280883
122,10,11.6761865920913
82,5,21.6544837543329
59,1,1.91485421551268
164,8,13.2507861402006
152,4,6.80073525436772
109,10,6.70198975429437
185,5,39.0160223497988
51,4,4.57347424467075
148,3,3
410,5,15.4272486205415
441,2,10.3400515794974
117,7,19.6022957839127
283,3,4.19324854180304
99,5,3.65148371670111
121,5,0
83,4,5.79511288357124
159,2,11.4891252930761
121,10,6.84957419601151
136,5,20.0333056017556
201,8,19.3627649540727
63,7,7.34846922834953
121,8,3.69684550213647
145,7,4.57347424467075
145,10,33.9153357642232
229,5,5.06622805119022
147,2,5.31507290636732
128,6,4.3493294502333
83,7,29.2617497767991
110,7,38.4274207652123
71,5,2.06155281280883
46,6,7.85281265959316
56,6,9.7082439194738
102,6,11.5181016954473
91,8,29.1704759417234
192,5,14.6287388383278
128,8,34
242,9,31.7122478967775
162,6,14.0593978059754
118,7,7.76208734813001
166,10,9.60468635614927
154,7,8.88819441731559
71,10,22.8965062837106
54,2,2.3094010767585
110,2,10.6301458127346
87,4,17.7670106283152
59,6,1.70782512765993
66,5,41.0933895738313
172,3,4.11298755975102
101,9,10.2428837085396
107,9,22.7943706500823
86,9,24.2624538467705
113,7,15.1959424408842
90,10,12.5266382827424
167,6,20.8386659841747
153,8,19.3799724802006
132,3,0
58,6,2.08166599946613
194,8,11.3871272350258
161,6,0
112,10,11.4309521329882
66,7,7.58836829188814
74,8,0
74,8,3.16227766016838
58,10,18.5898717944297
70,4,9.56991814663706
50,6,10.0166528008778
147,5,29.4222138301431
179,8,4.20317340430616
53,10,26.0943799824151
93,5,14.4308696896618
84,6,10.6575481858321
118,4,24.1522945769824
69,8,26.2345192446898
110,9,18.1176709319934
67,5,5.31507290636732
281,6,14.4539498638492
118,7,3.685557397916
79,10,20.2216880271323
87,10,1.91485421551268
58,5,11.146748404804
157,9,7.11805216802087
83,7,1.5
59,5,17.480942003603
76,3,13.4412301024373
45,4,10.9962114688045
66,7,0
159,8,9.89949493661167
87,7,0.957427107756338
155,2,0.957427107756338
78,4,10.8781125813871
114,10,6.68331255192114
77,6,21.3931453196267
112,10,22.553639765383
122,10,5.97215762238964
148,8,7.13559154286922
59,10,5.31507290636732
61,7,3.3166247903554
96,7,0
224,6,12.9711217710728
82,7,13.0384048104053
152,7,8.9628864398325
73,7,8.28653526310404
105,8,5.05799696849784
120,0,10
77,4,7.27438428093173
99,4,10.3400515794974
112,8,17.7012240631357
166,2,19.9394918022836
81,8,30.2696217353306
127,7,2.94392028877595
103,8,14.9303940559741
175,2,12.2576506721313
301,2,6.05530070819498
78,5,5.09901951359278
76,8,10.0124921972504
185,8,8.71779788708135
62,10,19.0153446808974
42,2,4.24264068711928
76,6,13.3291660154215
98,6,18.7149672722129
115,10,31.6478013980961
106,10,17.6139149538085
294,10,9.67815409397198
137,6,5.47722557505166
134,3,15.088627063675
63,5,3.5
50,3,3.36650164612069
121,4,46.1185067696979
65,6,24.1712639305436
68,0,4.57347424467075
60,3,6.07590871118606
115,7,22.618208004467
129,5,3.16227766016838
134,8,11.7898261225516
60,7,20.7424685126915
464,0,34.3838624939084
84,5,6.05530070819498
59,5,5.5
97,3,20.4348558432237
73,8,8.40634680861233
72,7,5.71547606649408
96,4,4.50924975282289
101,10,8.81286937760152
87,10,19.9833263830958
76,10,13.5277492584687
62,4,28.6400069832394
107,10,9.05538513813742
315,8,29.7139136881473
66,10,2.94392028877595
169,9,10.6770782520313
94,2,7.87400787401181
92,10,15.0416089564913
146,0,5.44671154612273
209,6,12.0933866224478
72,0,15.98697386416
94,9,1
120,7,14.3643076176102
222,9,2.62995563967658
325,7,14.8772757362809
124,6,3.69684550213647
60,8,14.9777612924406
310,3,5.74456264653803
87,10,4.96655480858378
194,10,0
145,10,20.704266871026
102,6,13.7719521734091
118,5,9.76387901058454
152,10,10.6770782520313
50,1,8.04155872120988
142,5,0
242,8,35.4906090865363
119,9,21.2994522621279
67,6,17.0293863659264
75,8,3.55902608401044
80,10,11.5758369027902
129,10,9.8488578017961
106,7,12.2304265393049
87,10,20.597329924046
65,7,29.9708191412914
73,1,29.7587522139846
229,5,16.583123951777
58,9,8.67947771086102
131,9,18.6189867250253
193,8,16.6408132814075
107,9,13.735598518691
120,10,12.4733048280451
119,10,9.06917857360853
75,8,7.7028133388609
96,6,10.5948100502085
301,8,6.13052471924984
81,5,13.1402688962847
412,6,4.92442890089805
57,10,1.4142135623731
79,2,9.67815409397198
153,9,26.787745954696
